data;etanol hidratado;gasolina comum;óleo diesel
01/01/2021;3.221;4.622;3.696
01/02/2021;3.429;4.951;3.951
01/03/2021;4.038;5.484;4.252
01/04/2021;3.826;5.448;4.202
01/05/2021;4.250;5.604;4.470
01/06/2021;4.358;5.687;4.505
01/07/2021;4.318;5.807;4.589
01/08/2021;4.476;5.933;4.611
01/09/2021;4.698;6.078;4.728
01/10/2021;4.883;6.341;5.033
01/11/2021;5.370;6.744;5.359
01/12/2021;5.141;6.670;5.347
01/01/2022;5.038;6.635;5.497
01/02/2022;4.744;6.600;5.592
01/03/2022;4.842;7.012;6.288
01/04/2022;5.326;7.245;6.602
01/05/2022;5.27;7.28;6.84
01/06/2022;4.90;7.25;7.20
01/07/2022;4.36;6.05;7.46
01/08/2022;3.95;5.39;7.10
01/09/2022;3.48;5.00;6.85
01/10/2022;3.56;4.89;6.56
01/11/2022;3.83;5.04;6.58
01/12/2022;3.84;4.97;6.36
01/01/2023;3.88;5.05;6.33
