data;venda carros
01/02/1981;65251
01/03/1981;64065
01/04/1981;69042
01/05/1981;62966
01/06/1981;61271
01/07/1981;60824
01/08/1981;63871
01/09/1981;64828
01/10/1981;63211
01/11/1981;61129
01/12/1981;68939
01/01/1982;62413
01/02/1982;65785
01/03/1982;74433
01/04/1982;67611
01/05/1982;64058
01/06/1982;69819
01/07/1982;72763
01/08/1982;75621
01/09/1982;70051
01/10/1982;78656
01/11/1982;74537
01/12/1982;90689
01/01/1983;72742
01/02/1983;65329
01/03/1983;81590
01/04/1983;78892
01/05/1983;85888
01/06/1983;66684
01/07/1983;66154
01/08/1983;84887
01/09/1983;73208
01/10/1983;74774
01/11/1983;65234
01/12/1983;84318
01/01/1984;57828
01/02/1984;67390
01/03/1984;68634
01/04/1984;70502
01/05/1984;76975
01/06/1984;80528
01/07/1984;65614
01/08/1984;81293
01/09/1984;73075
01/10/1984;80491
01/11/1984;82227
01/12/1984;70576
01/01/1985;73235
01/02/1985;73062
01/03/1985;87529
01/04/1985;35585
01/05/1985;53564
01/06/1985;65961
01/07/1985;96884
01/08/1985;94521
01/09/1985;100791
01/10/1985;109925
01/11/1985;98473
01/12/1985;82176
01/01/1986;67279
01/02/1986;85928
01/03/1986;101308
01/04/1986;99532
01/05/1986;104013
01/06/1986;94852
01/07/1986;89640
01/08/1986;79848
01/09/1986;101590
01/10/1986;96161
01/11/1986;47373
01/12/1986;82852
01/01/1987;55514
01/02/1987;71836
01/03/1987;62146
01/04/1987;90219
01/05/1987;83080
01/06/1987;76308
01/07/1987;89377
01/08/1987;84187
01/09/1987;68393
01/10/1987;83236
01/11/1987;78001
01/12/1987;84866
01/01/1988;68296
01/02/1988;77539
01/03/1988;97148
01/04/1988;82808
01/05/1988;91015
01/06/1988;96372
01/07/1988;90639
01/08/1988;105806
01/09/1988;83511
01/10/1988;89476
01/11/1988;90295
01/12/1988;95310
01/01/1989;76914
01/02/1989;80142
01/03/1989;83187
01/04/1989;56682
01/05/1989;76767
01/06/1989;98129
01/07/1989;98768
01/08/1989;105450
01/09/1989;89659
01/10/1989;84290
01/11/1989;66432
01/12/1989;99140
01/01/1990;80051
01/02/1990;74796
01/03/1990;51649
01/04/1990;52484
01/05/1990;82921
01/06/1990;53921
01/07/1990;51013
01/08/1990;100175
01/09/1990;86686
01/10/1990;96256
01/11/1990;87572
01/12/1990;82454
01/01/1991;64632
01/02/1991;57466
01/03/1991;78479
01/04/1991;51213
01/05/1991;69458
01/06/1991;88074
01/07/1991;100819
01/08/1991;99800
01/09/1991;89892
01/10/1991;98548
01/11/1991;89017
01/12/1991;76515
01/01/1992;62809
01/02/1992;73999
01/03/1992;58145
01/04/1992;99122
01/05/1992;90598
01/06/1992;93727
01/07/1992;100980
01/08/1992;100608
01/09/1992;99166
01/10/1992;103906
01/11/1992;101190
01/12/1992;90611
01/01/1993;62219
01/02/1993;73733
01/03/1993;100214
01/04/1993;87749
01/05/1993;102329
01/06/1993;103162
01/07/1993;105999
01/08/1993;115496
01/09/1993;106622
01/10/1993;109245
01/11/1993;106717
01/12/1993;100828
01/01/1994;89072
01/02/1994;92562
01/03/1994;122703
01/04/1994;98115
01/05/1994;116741
01/06/1994;110424
01/07/1994;112952
01/08/1994;127613
01/09/1994;106604
01/10/1994;108550
01/11/1994;125024
01/12/1994;113067
01/01/1995;75169
01/02/1995;109222
01/03/1995;130951
01/04/1995;116006
01/05/1995;135231
01/06/1995;137623
01/07/1995;107161
01/08/1995;143484
01/09/1995;125596
01/10/1995;129623
01/11/1995;130905
01/12/1995;112287
01/01/1996;96838
01/02/1996;120398
01/03/1996;137281
01/04/1996;126432
01/05/1996;139516
01/06/1996;122437
01/07/1996;150328
01/08/1996;153925
01/09/1996;148772
01/10/1996;149587
01/11/1996;148279
01/12/1996;127558
01/01/1997;126150
01/02/1997;134349
01/03/1997;154748
01/04/1997;171161
01/05/1997;162206
01/06/1997;168403
01/07/1997;157569
01/08/1997;170974
01/09/1997;182044
01/10/1997;183502
01/11/1997;135546
01/12/1997;102689
01/01/1998;106457
01/02/1998;103225
01/03/1998;149939
01/04/1998;136064
01/05/1998;148750
01/06/1998;138217
01/07/1998;111121
01/08/1998;155850
01/09/1998;120346
01/10/1998;92875
01/11/1998;82152
01/12/1998;85997
01/01/1999;83451
01/02/1999;45676
01/03/1999;137055
01/04/1999;117611
01/05/1999;115831
01/06/1999;109000
01/07/1999;116877
01/08/1999;132350
01/09/1999;132069
01/10/1999;100210
01/11/1999;97034
01/12/1999;98968
01/01/2000;92568
01/02/2000;122777
01/03/2000;128760
01/04/2000;126873
01/05/2000;144805
01/06/2000;136402
01/07/2000;138177
01/08/2000;151264
01/09/2000;139515
01/10/2000;141870
01/11/2000;137351
01/12/2000;140844
01/01/2001;115748
01/02/2001;131183
01/03/2001;172148
01/04/2001;163458
01/05/2001;168929
01/06/2001;147406
01/07/2001;130769
01/08/2001;134288
01/09/2001;112727
01/10/2001;125537
01/11/2001;137434
01/12/2001;131611
01/01/2002;111982
01/02/2002;102409
01/03/2002;132304
01/04/2002;146992
01/05/2002;138379
01/06/2002;119241
01/07/2002;141577
01/08/2002;138816
01/09/2002;146454
01/10/2002;158680
01/11/2002;146331
01/12/2002;145874
01/01/2003;120517
01/02/2003;131850
01/03/2003;125166
01/04/2003;130804
01/05/2003;126944
01/06/2003;134294
01/07/2003;139356
01/08/2003;135272
01/09/2003;164583
01/10/2003;180317
01/11/2003;161693
01/12/2003;196783
01/01/2004;134687
01/02/2004;128609
01/03/2004;182875
01/04/2004;148432
01/05/2004;161223
01/06/2004;178507
01/07/2004;183048
01/08/2004;186470
01/09/2004;181598
01/10/2004;191902
01/11/2004;185596
01/12/2004;219710
01/01/2005;142649
01/02/2005;160239
01/03/2005;203767
01/04/2005;194870
01/05/2005;201786
01/06/2005;211513
01/07/2005;198678
01/08/2005;205944
01/09/2005;201774
01/10/2005;184380
01/11/2005;210299
01/12/2005;234740
01/01/2006;172049
01/02/2006;177970
01/03/2006;205340
01/04/2006;175124
01/05/2006;207763
01/06/2006;189024
01/07/2006;211912
01/08/2006;215046
01/09/2006;202481
01/10/2006;212845
01/11/2006;214091
01/12/2006;236072
01/01/2007;169732
01/02/2007;184424
01/03/2007;230168
01/04/2007;209883
01/05/2007;247877
01/06/2007;229032
01/07/2007;264389
01/08/2007;262409
01/09/2007;232474
01/10/2007;276969
01/11/2007;255412
01/12/2007;257383
01/01/2008;230533
01/02/2008;222772
01/03/2008;253862
01/04/2008;279071
01/05/2008;254773
01/06/2008;278951
01/07/2008;302426
01/08/2008;262730
01/09/2008;279700
01/10/2008;256043
01/11/2008;191825
01/12/2008;201098
01/01/2009;176538
01/02/2009;191436
01/03/2009;262312
01/04/2009;228987
01/05/2009;246261
01/06/2009;291189
01/07/2009;267502
